titulo,recomendado_por
Principles for Success,Tony Robbins
Tools and Weapons: The Promise and the Peril of the Digital Age,Walter Isaacson
"The New Digital Age: Transforming Nations, Businesses, and Our Lives",Walter Isaacson
In the Shadow of Statues: A White Southerner Confronts History,Walter Isaacson
The Moment of Lift: How Empowering Women Changes the World,Barack Obama
In the Shadow of Statues: A White Southerner Confronts History,Barack Obama
Principles for Success,Bill Gates
Tools and Weapons: The Promise and the Peril of the Digital Age,Bill Gates
The Moment of Lift: How Empowering Women Changes the World,Bill Gates
"The New Digital Age: Transforming Nations, Businesses, and Our Lives",Elon Musk
The Moment of Lift: How Empowering Women Changes the World,Warren Buffett
